,영화ID,영화명,개봉일,국적,장르,감독,배우
67,67,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,일본,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구"
68,68,이상한 나라의 수학자,2022-03-09,한국,드라마,박동훈,"최민식,김동휘,박해준,박병은,조윤서,주진모,김원해,탕준상,김희정,강말금,김소숙,최재섭,주예린,이주한,정승길,류지훈,이한종,최재훈,김동현,이상현,신재휘,강준규,김태훈,이용빈,유혜림,김승태,황재순,차보미,최연우,고경민,김은석,차영주,이은형,김현선,정소용,이정섭,이지,조진결,김난희,김철호,김하람,신미영"
69,69,장르만 로맨스,2021-11-17,한국,"드라마,코미디",조은지,"류승룡,오나라,김희원,이유영,성유빈,무진성,오정세,박형수,김귀선,최희진,정수지,김범수,류현경,남태우,이강녕,임성미,김한나,민구경,문정대,곽민규,지웅배,손성찬,서명찬,송지혁,이재열,박서유,정건영,김시원,정영섭,이두익,정윤하,이한솔,신연우,은상욱,김형균,임효우,김솔비,김진옥,조이찬,박정숙,전은미,이건행,강슬기,박경현,지혜영,진시원,조승범,유아름,김현정,원일,박복만,배유리,이린하,박지율,김도연,오우리"
70,70,동감,2022-11-16,한국,멜로/로맨스,서은영,"여진구,조이현,김혜윤,나인우,배인혁,노재원,남민우,신주협,여주하,임유빈,김보윤,김수혁,박지안,이지연,하동준,문창준,강동진,전윤혁,이기욱,박정환,차현주,장원석,고국희,채승우,박대영,이동현,한명환,김다영,박종희,장윤,신기환,최광균,이석엽,지성준,전준수,김시현,백길찬,김기태,이호윤,박찬혁,오승희,신기한,김용진,송우림,구금비,오상의,박준호,조태호,이주예,송채연,류인아,이지혜,이수민,윤상영,양은솔,유재명,박하선"
71,71,모비우스,2022-03-30,미국,"액션,어드벤처,드라마",다니엘 에스피노사,"자레드 레토,맷 스미스,아드리아 아르호나,자레드 해리스,타이레스 깁슨"
72,72,늑대사냥,2022-09-21,한국,"액션,범죄",김홍선,"김세중,서인국,장동윤,최귀화,성동일,박호산,정소민,고창석,장영남,손종학,이성욱,홍지윤,정문성,임주환,권오율,김문학,김찬형,정수교,심우성,정재훈,유현수,김기창,엄준기,박봉준,신성민,강신철,이승훈,박민석,안지혜,강정우,김대한,김진만,조성구,윤기창,김철윤,송지혁,손현준,양승호,전우재,김해준,지남혁,김성령,정원영,장재호,김민철,이종윤,조형래,김태준,서석규,윤돈선,최현준,김원중,이재호,조기태,박선준,정하준,서정우,황명환,구민혁,임지섭,이원행,최우빈,장솔,김재명,안현준,김선민,신동력,김현,차영주,김용훈,조연희,최상식,박승진,천재홍,유상재,장주완,강용규,황인환,이병호,이충식,이원행,최광휘,김대연,송원종,이혜미,이시안,이정우,한태양,김태윤,김민수,김정훈,정시훈,최영우,안현준,김한준,이성민,김현진,김바비,서정빈,백승익,송원종,김대근,안현준,최광휘,송지민,김민석,김도환,서정원,신승환,정성일,권율,권수현,이홍내,김강훈,전혜원,박성현"
73,73,타이타닉,1998-02-20,미국,"드라마,멜로/로맨스,액션",제임스 카메론,"레오나르도 디카프리오,케이트 윈슬렛"
74,74,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,한국,애니메이션,"강승훈,윤제완","이선,이미자,김현지,홍소영,정미숙,김서영,김환진,소연,김혜성,이장원,사문영,엄상현"
75,75,특송,2022-01-12,한국,"범죄,액션",박대민,"박소담,송새벽,김의성,정현준,연우진,염혜란,한현민,허동원,오륭,조희봉,백도겸,권혁범,김예은,윤대열,박신운,유지수,강준규,박인수,양희명,박대원,신수오,김한수,차시원,김현민,정승현,유수정,김그림,한규원,안재현,이가경,강민지,신영훈,황원규,김수로,문성복,김기정,오세환,원진호,고영수,전석호,최덕문,유승호,박혜영"
76,76,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,한국,애니메이션,변영규,"김영은,김채하,신용우,조현정,양정화,강새봄,김명준,김현수,박성태,김율,강성우,유혜지,여민정,이달래,이우리,김동현,김윤기,황동현,채림,박이서"
77,77,스위치,2023-01-04,한국,기타,마대윤,"권상우,오정세,이민정,박소이,김준,김미경,김명선,이서환,차시원,성병숙,김승훈,윤대열,민태율,이가경,이세인,정형석,황병국,문정대,고기영,김용우,황사무엘,손석배,노경섭,이주한,백경선,김희정,이윤규,이현지,김진우,유재명,황승언,송영재,이지훈"
78,78,더 수어사이드 스쿼드,2021-08-04,미국,"액션,어드벤처,판타지,미스터리,SF",제임스 건,"마고 로비,이드리스 엘바,존 시나,조엘 킨나만,실베스터 스탤론,비올라 데이비스,제이 코트니"
79,79,니 부모 얼굴이 보고 싶다,2022-04-27,한국,드라마,김지훈,"설경구,오달수,천우희,문소리,고창석,김홍파,강신일,남기애,이미은,이지은,성유빈,유재상,정유안,정택현,박진우,노정의,전국향,박명신,정승길,손산,이승훈,윤경호,윤돈선,노진영,정도원,허인영,최희진,김재건,이나라,성열석,송광원,안승미,홍산,권귀빈,정병호,심훈기,김영,최정환,고용화,정미혜,이두열,한서윤,김건우,권수진,주동희,배유리,김세정,이상호,조전범,김정일,김윤식,안문주,이지훈,이주한,이다솔,이현일,이연우,백명재,임원선,박광진,홍은진,김영원,추국현,도윤섭,한기현,최선자,이봉규,김성오"
80,80,놉,2022-08-17,미국,"미스터리,공포(호러)",조던 필,"다니엘 칼루야,키키 팰머,스티븐 연,마이클 윈콧,브랜든 페레아"
81,81,서치 2,2023-02-22,미국,"미스터리,스릴러","니콜라스 D 존슨,윌 메릭","스톰 리드,켄 렁,다니엘 헤니,니아 롱"
82,82,리멤버,2022-10-26,한국,드라마,이일형,"이성민,남주혁,박근형,정만식,윤제문,송영창,문창길,박병호,최민철,남문철,양현민,박세현,윤우,박서연,하도권,이승준,정한빈,박민이,이서준,송유현,하영,김귀선,이창직,남민우,이우성,김우진,한사명,함희수,정순원,김훈만,정영섭,이재혁,조태일,박성현,공경배,황연희,설창희,권범택,남상지,윤기창,박진영,이지유,김율호,강충훈,권반석,구자건,정충구,김민체,배명진,윤세웅,백익남,최솔희,권민경,오유미,이승준,한창현,박충환,서동복,강춘성,배기림,김도경,전두현,김태웅,김성곤,한지호,반혜영,조현수,김해준,이우주,진범일,노희중,한명철,곽나연,백승환,김윤찬,이정철,최기상,김성하,박병관,송경아,박용복,황영수,강종성,김상동,김지현,채승혜,박혜영,정예서,이다정,서호준,김관수,문지현,홍인아,정상현,김홍파,김근영"
83,83,배드 가이즈,2022-05-04,미국,"애니메이션,범죄,액션",피에르 페리펠,"샘 록웰,크레이그 로빈슨,안소니 라모스,아콰피나,재지 비츠"
84,84,뜨거운 피,2022-03-23,한국,"범죄,드라마",천명관,"정우,김갑수,최무성,지승현,김해곤,윤지혜,이홍내,정호빈,김종구,이영석,차순배,허동원,이호철,이성우,배명진,정기섭,김강일,성낙경,현봉식,유순웅,최홍일,백수희,허지원,양희명,정영록,윤대열,윤탁,최광제,양지수,서정우,신미영,김우진,박지홍,김승현,김주희,최민석,김진혁,유현,최범호,서광재,이해성,전병덕,박상규,김흥태,이신영,이선주,박지원,김태현,천영암,이병수,유인혜,주재윤,남윤주,이익수,오지영,임유란,김리원,한희경,이은주,김탁,허성우,이경훈,김보경,조셉,박진수,김준섭,고남호,박영준,양영일,김지한,강은지,김시혜,서유림,임소현,안지훈,김병남,박세정,송태완,왕나경,황정윤,김영건,이다혜,이일현,정규연,고진우,김혜지,김정준,장현아,김다슬,최필규,김범준,김태균,서준영,진혁,왕경빈,서영수,장명진,한대훈,황진호,박원우,윤제문,정영주,김단비,김현"
85,85,카운트,2023-02-22,한국,드라마,권혁재,"진선규,김지창,성유빈,고창석,오나라,장동주,고규필,한태경,김욱인,이종화,최형태,추정훈,태인호,차순배,이준혁,이홍내,우정원,한철우,전승재,이일화,박성근,김한종,이윤희,전승재"
86,86,킬러의 보디가드 2,2021-06-23,미국,"액션,코미디,범죄",패트릭 휴즈,"라이언 레이놀즈,사무엘 L. 잭슨,셀마 헤이엑,모건 프리먼,안토니오 반데라스"
87,87,루카,2021-06-17,미국,"애니메이션,어드벤처,코미디",엔리코 카사로사,"제이콥 트렘블레이,잭 딜런 그레이저,엠마 버만"
88,88,에브리씽 에브리웨어 올 앳 원스,2022-10-12,미국,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
89,89,상견니,2023-01-25,대만,"드라마,판타지,멜로/로맨스",황천인,"가가연,허광한,시백우"
90,90,탄생,2022-11-30,한국,드라마,박흥식,"윤시윤,안성기,윤경호,이문식,이호원,이경영,신정근,송지연,하경,김광규,임현수,김승훈,박지훈,성혁,백지원,최무성,차청화,남다름,이준혁,강말금,김강우,정유미,강덕중,송길호,정준환,송훈,한창현,이문빈,고봉구,김동현,이승훈,조재룡,최윤우,한바다,김용태,이경훈,최로운,최민주,김형도,김나운,나기수,강두,박주연,장민영,김여준,공현지,이용이,김대종,이호영,이용헌,오현진,김성수,김재훈,신성용,고해성,전운종,김기현,김주헌,장용원,황수진,양정인,윤지애"
91,91,버즈 라이트이어,2022-06-15,미국,"애니메이션,액션,어드벤처",앵거스 맥클레인,"크리스 에반스,타이카 와이티티,피터 손"
92,92,그대가 조국,2022-05-25,한국,다큐멘터리,이승준,조국
93,93,수퍼 소닉2,2022-04-06,미국,"애니메이션,액션,어드벤처,코미디,가족,판타지,SF",제프 파울러,"제임스 마스던,짐 캐리,벤 슈왈츠,이드리스 엘바,티카 섬터"
94,94,프리 가이,2021-08-11,미국,"액션,어드벤처",숀 레비,"라이언 레이놀즈,조디 코머,타이카 와이티티,조 키어리"
95,95,웅남이,2023-03-22,한국,"코미디,액션",박성광,"박성웅,최민수,오달수,염혜란,윤제문,이이경,백지혜,서동원,한다솔,정우성,안일권,김기천,변진수,최선자,양주호,곽민호,장덕출,김광식,김종구,노기홍,정규석,정기욱,고덕원,이서율,박강토,양동혁,오지영,설도희,김미성,이광훈,허진성,이성하,정현옥,전지학,유병선,김인석,이얀,하회정,한상경,전재현,강준규,김대근,곽기훈,문웅기,류한종,이민교,양해준,박건주,소계원,장두경,송인준,인선호,문기환,정우철,장효준,정유동,노일환,홍기주,서현우"
96,96,강릉,2021-11-10,한국,"범죄,액션",윤영빈,"유오성,장혁,박성근,오대환,김준배,이현균,신승환,최기섭,김세준,조현식,송영규,박정학,이채영,한선화,김병춘,배미자,유현수,지찬,전인혁,박재한,우상기,신유람,선율우,우혁,서재필,고윤빈,김누림,이진성,이건구,강나영,문하은,함건수,홍도성,장민기,박태산,김림후,오윤수,정진우,원필호,하정민,추상민,전희련,이도훈,박민현,유용국,김득겸,남강민,강정우,박준혁,전재홍,박경훈,김동준,이환의,김현빈,정재훈,윤동주,손교성,천석현,김민하,한동훈,박선혜,강성하,고건우,김한,염한성,김정섭,오명훈,김보성,곽장륜,최가인,이지영,한나나,이민영,오영철,공라희,지나경,김진환,유동현,엄태성,오성현,박준호,정현지,연수,김민석"
97,97,정글 크루즈,2021-07-28,미국,"액션,어드벤처",자움 콜렛 세라,"드웨인 존슨,에밀리 블런트,에드가 라미레즈"
98,98,아임 히어로 더 파이널,2023-03-01,한국,"공연,다큐멘터리",오윤동,임영웅
99,99,DC 리그 오브 슈퍼-펫,2022-08-10,미국,"애니메이션,액션,어드벤처","자레드 스턴,샘 레빈","드웨인 존슨,케빈 하트,키아누 리브스,존 크래신스키"
100,100,옥수역귀신,2023-04-19,한국,"공포(호러),미스터리",정용기,"김보라,김재현,신소율,김강일,김수진,박재한,김광현,김나윤,김은민,유채련,한희택,조연호,진대연,이종성,엄채윤,박노아,이수아,박세정,한여름,최호영,이원희,강지혜,현명한,소계원,김종원,이채훈,김수현,홍성민,황지후,김구택,장준휘,박재한"
101,101,해피 뉴 이어,2021-12-29,한국,"멜로/로맨스,드라마",곽재용,"한지민,이동욱,강하늘,임윤아,원진아,이혜영,정진영,김영광,서강준,이광수,고성희,이진욱,조준영,원지안,이규형,박성일,임성재,이종욱,김승훈,배해선,남명렬,백은혜,최수민,한서울,강영주,박종찬,이지훈,황태희,송유현,이주한,김수겸,김승찬,박종혁,차동하,오민애,이세인,류제희,이동찬,양대성,정해진,김미준,임슬기,김대겸,김지연,이수연,이승희,서문호,송경아,김진혁,김예은,이기창,정한슬,윤해주,주예린,김동현,김기훈,신종호,조현수,임유란,이무영,김경형,박시현,장순성,채하니,정수용,서명찬,김만기,박세아,전시완,이용문,고은별,편강윤,서은영,고은수,손예지,고윤빈,임한순,김형남,설충용,최훈,박혜숙,김호연,김남순,신강균,백낙순,김윤식,김도건,유가혜,노영애,이원규,권상우,신성일,강석현,박준규,정유진"
